Policy Parameter,Year,Old_Value,Value
rate_cloth,2025,0.05,0.05
rate_clothes,2025,0.05,0.05
rate_donation,2025,0.0,0.0
rate_education_services_government,2025,0.0,0.0
rate_education_services_government_college,2025,0.15,0.15
rate_education_services_private,2025,0.14,0.14
rate_education_services_private_college,2025,0.15,0.15
rate_electronics_ict,2025,0.15,0.15
rate_electronics_ict_repair,2025,0.1,0.1
rate_entertainment_goods_music,2025,0.15,0.15
rate_entertainment_goods_sports,2025,0.15,0.15
rate_financial_services,2025,0.08,0.08
rate_food_basic,2025,0.01,0.01
rate_food_non_basic,2025,0.05,0.05
rate_footwear,2025,0.15,0.15
rate_footwear_services,2025,0.15,0.15
rate_fuel,2025,0.08,0.08
rate_fuel_biomass,2025,0.02,0.02
rate_furniture_fixtures,2025,0.15,0.15
rate_health_equipment,2025,0.15,0.15
rate_health_services,2025,0.0,0.0
rate_health_services_dental,2025,0.0,0.0
rate_health_services_paramedical,2025,0.0,0.0
rate_health_services_testing,2025,0.0,0.0
rate_hospital_services,2025,0.1,0.1
rate_hotel_services,2025,0.14,0.14
rate_house_repair_goods,2025,0.13,0.13
rate_house_repair_services,2025,0.0,0.0
rate_household_accessories_medical,2025,0.15,0.15
rate_household_electric_equipment,2025,0.15,0.15
rate_household_equipment,2025,0.15,0.15
rate_household_gardening,2025,0.05,0.05
rate_household_goods,2025,0.08,0.08
rate_household_items,2025,0.15,0.15
rate_household_repair_services,2025,0.12,0.12
rate_household_services,2025,0.0,0.0
rate_household_utensils,2025,0.15,0.15
rate_interest,2025,0.0,0.0
rate_jewellery,2025,0.05,0.05
rate_legal_services,2025,0.06,0.06
rate_medical_accessories,2025,0.15,0.15
rate_medical_life_saving,2025,0.15,0.15
rate_motor_vehicle_four_wheeler,2025,0.15,0.15
rate_motor_vehicle_two_wheeler,2025,0.15,0.15
rate_non_motorized_vehicle,2025,0.12,0.12
rate_other_services,2025,0.03,0.03
rate_personal_accessories,2025,0.14,0.14
rate_personal_accessories_services,2025,0.15,0.15
rate_personal_expenses_religious,2025,0.15,0.15
rate_personal_products,2025,0.15,0.15
rate_personal_services,2025,0.15,0.15
rate_recreation,2025,0.0,0.0
rate_religious_services,2025,0.0,0.0
rate_rent,2025,0.15,0.15
rate_restaurant,2025,0.05,0.05
rate_sports_recreation_services,2025,0.12,0.12
rate_stationery,2025,0.02,0.02
rate_tailoring_cleaning,2025,0.15,0.15
rate_tax,2025,0.0,0.0
rate_telecom_equipment,2025,0.05,0.05
rate_telecom_services,2025,0.15,0.15
rate_transport,2025,0.09,0.09
rate_transport_services,2025,0.15,0.15
rate_travel,2025,0.15,0.15
rate_travel_religious,2025,0.0,0.0
rate_utilities,2025,0.13,0.13
rate_vehicle_equipment,2025,0.15,0.15
rate_vehicle_services,2025,0.11,0.11
