Tax Incentive,Current Law,Benchmark,Tax Expenditure
rate_cloth,1042.63,1050.00,7.37
rate_clothes,1042.63,1125.97,83.34
rate_donation,1042.63,1050.67,8.04
rate_education_services_government,1042.63,1048.37,5.74
rate_education_services_government_college,1042.63,1042.63,0.00
rate_education_services_private,1042.63,1044.82,2.19
rate_education_services_private_college,1042.63,1042.63,0.00
rate_electronics_ict,1042.63,1042.63,0.00
rate_electronics_ict_repair,1042.63,1042.64,0.01
rate_entertainment_goods_music,1042.63,1042.63,0.00
rate_entertainment_goods_sports,1042.63,1042.63,0.00
rate_financial_services,1042.63,1043.87,1.24
rate_food_basic,1042.63,1805.63,763.00
rate_food_non_basic,1042.63,1124.52,81.89
rate_footwear,1042.63,1042.63,0.00
rate_footwear_services,1042.63,1042.63,0.00
rate_fuel,1042.63,1065.42,22.79
rate_fuel_biomass,1042.63,1080.19,37.56
rate_furniture_fixtures,1042.63,1042.63,0.00
rate_health_equipment,1042.63,1042.63,0.00
rate_health_services,1042.63,1052.08,9.45
rate_health_services_dental,1042.63,1043.35,0.72
rate_health_services_paramedical,1042.63,1043.42,0.79
rate_health_services_testing,1042.63,1051.50,8.87
rate_hospital_services,1042.63,1051.08,8.45
rate_hotel_services,1042.63,1042.73,0.10
rate_house_repair_goods,1042.63,1047.07,4.44
rate_house_repair_services,1042.63,1054.50,11.87
rate_household_accessories_medical,1042.63,1042.63,0.00
rate_household_electric_equipment,1042.63,1042.63,0.00
rate_household_equipment,1042.63,1042.63,0.00
rate_household_gardening,1042.63,1042.93,0.30
rate_household_goods,1042.63,1046.70,4.07
rate_household_items,1042.63,1042.63,0.00
rate_household_repair_services,1042.63,1042.72,0.09
rate_household_services,1042.63,1097.23,54.60
rate_household_utensils,1042.63,1042.63,0.00
rate_interest,1042.63,1046.78,4.15
rate_jewellery,1042.63,1063.36,20.73
rate_legal_services,1042.63,1045.23,2.60
rate_medical_accessories,1042.63,1042.63,0.00
rate_medical_life_saving,1042.63,1042.63,0.00
rate_motor_vehicle_four_wheeler,1042.63,1042.63,0.00
rate_motor_vehicle_two_wheeler,1042.63,1042.63,0.00
rate_non_motorized_vehicle,1042.63,1043.52,0.89
rate_other_services,1042.63,1060.21,17.58
rate_personal_accessories,1042.63,1042.93,0.30
rate_personal_accessories_services,1042.63,1042.63,0.00
rate_personal_expenses_religious,1042.63,1042.63,0.00
rate_personal_products,1042.63,1042.63,0.00
rate_personal_services,1042.63,1042.63,0.00
rate_recreation,1042.63,1043.02,0.39
rate_religious_services,1042.63,1119.99,77.37
rate_rent,1042.63,1042.63,0.00
rate_restaurant,1042.63,1089.58,46.95
rate_sports_recreation_services,1042.63,1043.92,1.29
rate_stationery,1042.63,1054.27,11.64
rate_tailoring_cleaning,1042.63,1042.63,0.00
rate_tax,1042.63,1060.10,17.47
rate_telecom_equipment,1042.63,1055.49,12.86
rate_telecom_services,1042.63,1042.63,0.00
rate_transport,1042.63,1070.01,27.38
rate_transport_services,1042.63,1042.63,0.00
rate_travel,1042.63,1042.63,0.00
rate_travel_religious,1042.63,1047.07,4.45
rate_utilities,1042.63,1051.92,9.29
rate_vehicle_equipment,1042.63,1042.63,0.00
rate_vehicle_services,1042.63,1043.96,1.33
